num,Database,herb,herb2,Ingredient_Name,Flag,MOLID,PubChem_CID,Biological_Test_Results,BBB_OB,SMILES,genes_from_paper,genes_from_tcmsp,genes_from_pubchem,genes_from_sea,genes_total
6264,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,Furol,,,7362,Exist,++,C1=COC(=C1)C=O,,,AR,,AR
6265,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,nicotinic acid,,,938,Exist,++,C1=CC(=CN=C1)C(=O)O,,"HP,APOB,PTGS1,PPARGC1A,LPL","HCAR3,APP,HCAR1,CYP2D6,CYP3A4,HCAR2,CYP2C19,CYP2C9,TRHR,CYP1A2","SIRT2,KMO","HCAR3,APOB,APP,HCAR1,LPL,CYP2D6,CYP3A4,CYP2C19,CYP2C9,KMO,SIRT2,TRHR,CYP1A2,HP,PTGS1,PPARGC1A,HCAR2"
6266,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,PENTADECYLIC ACID,,,13849,Exist,+-,CCCCCCCCCCCCCCC(=O)O,,"PTGS1,NCOA2,RHO",PPARD,"KDM2A,CES2,SLC22A6,HMGCR,OXER1,PPARA,PLA2G2A,PPARD,FFAR4,CES1,PAM,PPARG,FABP3,GPR84,SLC22A8,TLR2","OXER1,PPARD,PLA2G2A,FFAR4,FABP3,GPR84,SLC22A8,KDM2A,CES2,SLC22A6,HMGCR,RHO,PTGS1,PPARA,CES1,PAM,NCOA2,PPARG,TLR2"
6267,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,apigenin,,,5280443,Exist,--,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,,"PLAU,PSME3,AR,CASP3,MCL1,EIF6,TP53,INS,CCNB1,AAGAB,MS4A2,TRPM2,G6PC,PTGS1,CCND2,RB1,RUNX1T1,BCL2,NCOA2,AKR1C3,ALPI,VEGFA,ACACA,FCER2,CCND1,CASP9,PRSS1,FOS,PSMD3,IL13,F7,HIF1A,AHSA1,ICAM1,CFLAR,RELA,IKBKG,NFKBIA,MDM2,APC,CYCS",,"PTPRS,MAOA,TNKS,CA4,AKR1B10,ACHE,AR,FLT3,GSK3B,CYP3A4,PTGS2,KCND3,GPR35,ESR1,CDK5R1,CYP1A2,CDK6,NAE1,DPP4,AKR1B1,CFTR,HSD17B1,ABCC1,MPO,VEGFA,PGF,APP,AMY1A,CA7,TTR,TYR,CYP19A1,GLO1,CYP1B1,CYP2C19,CSNK2A1,NOX4,ESR2,ABCG2,TNKS2,ABCB1,SYK,GRK6,ALOX15,XDH","PSME3,TNKS,MAOA,CA4,AKR1B10,CYP3A4,PTGS2,MCL1,EIF6,GPR35,INS,CCNB1,AAGAB,TRPM2,DPP4,CFTR,HSD17B1,G6PC,PTGS1,CCND2,MPO,RB1,RUNX1T1,BCL2,AKR1C3,ALPI,VEGFA,ACACA,FCER2,PGF,CASP9,APP,PRSS1,CA7,TTR,PSMD3,IL13,TYR,GLO1,CYP1B1,AHSA1,NOX4,ICAM1,ESR2,TNKS2,RELA,ABCB1,IKBKG,MDM2,APC,XDH,PTPRS,PLAU,ACHE,AR,FLT3,GSK3B,CASP3,KCND3,TP53,ESR1,CDK5R1,MS4A2,CYP1A2,CDK6,NAE1,AKR1B1,ABCC1,NCOA2,CCND1,AMY1A,FOS,CYP19A1,F7,HIF1A,CYP2C19,CSNK2A1,ABCG2,CFLAR,SYK,GRK6,NFKBIA,ALOX15,CYCS"
6268,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,anethole,,,637563,Exist,++,CC=CC1=CC=C(C=C1)OC,,"RELA,ADRA1A,CHRM1,NFKBIA,ADRA2C",,"NFE2L2,AHR,RELA,PTGS2,CYP1B1","NFE2L2,AHR,RELA,ADRA1A,PTGS2,NFKBIA,CHRM1,CYP1B1,ADRA2C"
6269,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,Sitogluside,,,5742590,Exist,+-,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)C,,"CHRM3,PTGS1,PGR,HTR3A,NCOA2,CHRM1,RXRA","PRKAG1,GSK3B,PRKAA1,PRKAB2,PRKAA2,PRKAG2,PRKAG3,POLB,PRKAB1",,"PRKAG1,GSK3B,PRKAA2,HTR3A,RXRA,PRKAG3,CHRM3,PTGS1,PRKAA1,PGR,PRKAB2,PRKAG2,NCOA2,CHRM1,POLB,PRKAB1"
6270,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,geraniol,,,637566,Exist,+-,CC(=CCCC(=CCO)C)C,,"BAK1,CCND1,CYP2B6,PGR","ALOX15,CYP3A4,ESR1",SQLE,"CCND1,CYP2B6,CYP3A4,PGR,ESR1,ALOX15,SQLE,BAK1"
6271,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,Sinensetin,,,145659,Exist,-+,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC)OC)OC)OC,,"NCOA1,PTGS1,AR,PRSS1,ACHE,F7,NCOA2,CHEK1,ESR2","ABCG2,KMT2A,ABCB1,MEN1","ABCG2,CYP1A1,CYP1B1,ABCB1","NCOA1,ACHE,AR,PRSS1,F7,CYP1B1,CHEK1,MEN1,ESR2,ABCG2,PTGS1,KMT2A,ABCB1,NCOA2,CYP1A1"
6272,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,(-)-Caryophyllene oxide,,,1742210,Exist,++,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,,"CHRM3,ACHE,CHRM2,CHRM1,GABRA1",,,"CHRM3,ACHE,CHRM2,CHRM1,GABRA1"
6273,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,didymin,,,16760075,Exist,--,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)OC)O)O)O)O)O)O)O,,"NCOA1,PTGS1,NCOA2,ESR1,RXRA",,CYP19A1,"NCOA1,PTGS1,CYP19A1,NCOA2,ESR1,RXRA"
6274,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,methyl palmitate,,,8181,Exist,+-,CCCCCCCCCCCCCCCC(=O)OC,,"IL10,PTGS1,RELA,IL6,NCOA2,PTGER3",,"CA14,PAM,POLB,POLA1","IL10,POLA1,PTGS1,RELA,IL6,PAM,NCOA2,CA14,PTGER3,POLB"
6275,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,"5,7,4'-Trimethylapigenin",,,79730,Exist,++,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C=C3OC)OC,,"PTGS1,PRSS1,NCOA2,ADRA2C,ESR2",ABCB1,"ABCG2,MAOA,TNKS,AR,ABCB1,KCND3,MAOB,CYP1B1","ABCG2,TNKS,MAOA,PTGS1,PRSS1,AR,ABCB1,KCND3,MAOB,NCOA2,CYP1B1,ADRA2C,ESR2"
6276,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,palmitic acid,,,985,Exist,+-,CCCCCCCCCCCCCCCC(=O)O,,"IL10,RHO,PTGS1,SLC22A5,BCL2,CTSD,NCOA2,PCYT1A","FABP2,FABP5,FABP4,PPARA,PPARD,FFAR1,OR51E2,PPARG,FABP3,ESR1,TLR2","KDM2A,CES2,SLC22A6,HMGCR,OXER1,PPARA,PLA2G2A,PPARD,FFAR4,CES1,PAM,PPARG,FABP3,GPR84,SLC22A8,TLR2","FABP2,OXER1,FABP4,SLC22A5,PPARD,PLA2G2A,FFAR4,FABP3,ESR1,GPR84,SLC22A8,KDM2A,IL10,FABP5,CES2,SLC22A6,RHO,HMGCR,PTGS1,PPARA,FFAR1,BCL2,CTSD,OR51E2,PPARG,NCOA2,CES1,PAM,PCYT1A,TLR2"
6277,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,Rhoifolin,,,5282150,Exist,--,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,,,,"IL2,P4HB","IL2,P4HB"
6278,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,stachydrine,,,115244,Exist,++,C[N+]1(CCCC1C(=O)[O-])C,,GABRA1,,,GABRA1
6279,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,"4',5,7,8-Tetramethoxyflavone",,,629964,Exist,-+,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3OC)OC)OC,,"NCOA1,PTGS1,AR,PRSS1,ACHE,F7,NCOA2,CHEK1,ESR2",,"ABCG2,CYP1B1,ABCB1","ABCG2,NCOA1,PTGS1,AR,PRSS1,ACHE,ABCB1,F7,NCOA2,CYP1B1,CHEK1,ESR2"
6280,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,tangeretin,,,68077,Exist,-+,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC,,"PTGS1,AR,PRSS1,ACHE,CHEK1,F7,EIF6,NCOA2,CYP1A1,ESR2","ABCG2,RAPGEF4,TDP1,ABCB1,CYP3A4,ALDH1A1","ABCG2,TNKS,ABCC1,ABCB1,CYP1B1","RAPGEF4,TDP1,TNKS,ACHE,AR,PRSS1,CYP3A4,F7,EIF6,CYP1B1,CHEK1,ALDH1A1,ESR2,ABCG2,PTGS1,ABCC1,ABCB1,NCOA2,CYP1A1"
6281,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,eugenol,,,3314,Exist,+-,COC1=C(C=CC(=C1)CC=C)O,,"PLAU,ABCC2,ENOX2,PTGS1,CTRB1,CHRM3,AHR,MUC1,ADRA1A,RELA,ALOX5,CYP1B1,CHRM1,ADRA2C,CYP1A1,CHRM2,TRPV3,TRPC3","PTGS1,AR,TRPA1,ALOX5,ALDH1A1","TTR,ALOX5,FOS,JUN","PLAU,ENOX2,CTRB1,AR,TTR,FOS,TRPA1,MUC1,CYP1B1,ALDH1A1,ABCC2,CHRM3,PTGS1,AHR,RELA,ADRA1A,ALOX5,CHRM1,ADRA2C,CYP1A1,CHRM2,TRPV3,JUN,TRPC3"
6282,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,Majudin,,,2355,Exist,++,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,,,"IFNG,MAOA,KCNA2,AR,EZH2,CYP2D6,CYP3A4,CYP2C19,CYP1B1,CYP2C9,CYP2A6,ALDH1A1,CYP1A2,NR1I2,AHR,ABCB1,PGR,NR1I3,CYP1A1","CYP1A1,KCNA3,CYP1B1,KCNA5","IFNG,MAOA,KCNA2,AR,EZH2,CYP2D6,CYP3A4,CYP2C19,CYP1B1,CYP2C9,CYP2A6,ALDH1A1,CYP1A2,NR1I2,AHR,ABCB1,PGR,NR1I3,KCNA3,KCNA5,CYP1A1"
6283,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,neohesperidin_qt,,,NO,,,,,PTGS1,,,PTGS1
6284,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,Nevoli oil,,,8635,Exist,++,COC(=O)C1=CC=CC=C1N,,PTGS1,"GNAI1,RGS12",,"PTGS1,GNAI1,RGS12"
6285,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,CADINENE,,,3032853,,++,CC1CCC(C2C1C=CC(C2)C)C(C)C,,"CHRM3,ADRA1A,NCOA2,CHRM1,RXRA,CHRM2,GABRA1",,,"CHRM3,ADRA1A,NCOA2,CHRM1,RXRA,CHRM2,GABRA1"
6286,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,nobiletin,,,72344,Exist,-+,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC,,"CASP9,PTGS1,AR,PRSS1,EPHB2,GSK3B,F7,TIMP1,BCL2,PPARG,NCOA2,TP53,CD163,ESR1,CHEK1,MAPK8,ESR2","ABCG2,DRD3,KCNMB4,TDP1,KCNMA1,MAP3K3,LRRC26,KCNMB2,ABCB1,CYP3A4,KCNMB1","ABCG2,ABCC1,ABCB1,CYP1B1,CYP1A1","KCNMA1,AR,GSK3B,CYP3A4,TP53,ESR1,MAPK8,PTGS1,EPHB2,ABCC1,KCNMB2,BCL2,PPARG,NCOA2,CD163,CYP1A1,KCNMB1,DRD3,TDP1,KCNMB4,CASP9,PRSS1,LRRC26,F7,CYP1B1,CHEK1,ESR2,ABCG2,MAP3K3,ABCB1,TIMP1"
6287,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,LYC,,,446925,Exist,+-,CC(=CCCC(=CC=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC=C(C)CCC=C(C)C)C)C)C)C,,,"AR,GMNN,ESR1",,"AR,GMNN,ESR1"
6288,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,Neral,,,643779,,+-,CC(=CCCC(=CC=O)C)C,,,,,
6289,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,Elemicin,,,10248,Exist,++,COC1=CC(=CC(=C1OC)OC)CC=C,,"CHRM3,PTGS1,ADRA1A,CHRM1,ADRA2C,CHRM2,GRIA2,GABRA1",,,"CHRM3,PTGS1,ADRA1A,CHRM1,ADRA2C,CHRM2,GRIA2,GABRA1"
6290,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,Skimmetin,,,5281426,Exist,--,C1=CC(=CC2=C1C=CC(=O)O2)O,,"CTSD,PTGS1,ADRA2C","AKR1B1,CA12,KLK7,ERAP1,CA9","XDH,ERAP1,CA9,CA12","KLK7,AKR1B1,PTGS1,CA12,CTSD,XDH,ADRA2C,ERAP1,CA9"
6291,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,(R)-linalool,,,443158,Exist,+-,CC(=CCCC(C)(C=C)O)C,,"CHRM3,PTGS1,PGR,NCOA2,CHRM1,CHRM2,GABRA1",,,"CHRM3,PTGS1,CHRM2,PGR,NCOA2,CHRM1,GABRA1"
6292,TCMSP,ªØÈŸ∫Ï,ªØÈŸ∫Ï,putrescine,,,1045,Exist,++,C(CCN)CN,,"NFKB1,AMD1,RELA,OXTR","AMD1,KCNJ4","CA3,CA6,CA5B,CA5A","AMD1,KCNJ4,CA3,RELA,NFKB1,CA6,OXTR,CA5B,CA5A"
